35,32,Dark Magician
37,16,Gaia the Dragon Champion
38,32,Gaia the Fierce Knight
42,32,Illusionist Faceless Mage
63,64,Harpie Lady Sisters
69,32,Thousand Dragon
74,32,Giant Soldier of Stone
79,32,Megazowler
82,16,Red-eyes B. Dragon
90,32,Gyakutenno Megami
99,64,Pumpking the King of Ghosts
106,32,Spirit of the Winds
213,32,Aqua Madoor
223,32,Roaring Ocean Snake
266,32,Princess of Tsurugi
358,16,Seiyaryu
360,32,Zera The Mant
366,48,Labyrinth Wall
369,32,Wall Shadow
370,64,Labyrinth Tank
371,16,Sanga of the Thunder
372,16,Kazejin
373,16,Suijin
385,64,Bickuribox
386,16,Harpie's Pet Dragon
390,32,Launcher Spider
391,16,Zoa
392,16,Metalzoa
401,64,Ushi Oni
407,64,Machine King
426,16,Stone D.
427,16,Kaiser Dragon
442,16,Aqua Dragon
453,64,Millennium Golem
465,32,Punished Eagle
467,16,Crimson Sunbird
471,64,Soul Hunter
495,32,Musician King
500,32,Dragon Seeker
509,64,Bracchio-raidus
522,32,Monstrous Bird
525,32,Spirit of the Mountain
529,32,Flame Cerebrus
531,32,Mystical Sand
545,32,Skelgon
564,64,Great Mammoth of Goldfine
571,16,B. Dragon Jungle King
572,32,Empress Judge
594,32,Rose Spectre of Dunn
613,16,Twin-headed Thunder Dragon
619,32,Rock Spirit
622,32,Ill Witch
627,32,Nekogal #2
632,32,Stone Ogre Grotto
635,32,Queen's Double
638,64,Queen of Autumn Leaves
645,32,Royal Guard
686,32,Widespread Ruin
690,32,Fake Trap
712,32,Meteor Dragon
