3,12,Hitotsu-me Giant
5,12,Ryu-kishin
8,1,Mushroom Man
9,48,Shadow Specter
16,48,Time Wizard
23,12,The Wicked Worm Beast
26,12,Battle Ox
27,64,Beaver Warrior
34,12,Saggi the Dark Clown
38,8,Gaia the Fierce Knight
40,1,Dragon Piper
58,64,Kuriboh
75,1,Man-eating Plant
76,1,Krokodilus
77,12,Grappler
91,12,Mystic Horseman
101,1,Wings of Wicked Flame
105,48,Tomozaurus
123,64,Dark Plant
130,32,Weather Control
133,1,Charubin the Fire Knight
137,32,Mystery Hand
157,1,Firegrass
158,1,Man Eater
167,32,Ancient Jar
176,1,Fire Eye
180,1,Arlownay
192,48,Key Mace
197,48,Mech Mole Zombie
202,32,Air Marmot of Nefariousness
210,12,Hinotama Soul
237,32,Haniwa
238,1,Yashinoki
273,1,Ancient Tree of Enlightenment
274,1,Green Phantom King
289,48,Change Slime
291,1,Fireyarou
330,12,Forest
331,12,Wasteland
332,12,Mountain
333,12,Sogen
334,12,Umi
335,12,Yami
336,64,Dark Hole
341,10,Soul of the Pure
346,10,Ookazi
348,32,Swords of Revealing Light
349,32,Spellbinding Circle
377,12,Ryu-kishin Powered
379,12,La Jinn the Mystical Genie
387,48,Mystic Lamp
397,32,Leghul
402,32,Monster Eye
410,48,Mechanical Spider
411,32,Bat
422,48,Jinzo #7
428,48,Magician of Faith
436,48,White Dolphin
444,32,Turu-Purun
469,32,Armed Ninja
484,32,Ameba
485,32,Korogashi
488,64,Rainbow Flower
489,1,Barrel Lily
504,48,Fungi of the Musk
510,1,Laughing Flower
511,1,Bean Soldier
516,48,Muka Muka
541,32,Hane-Hane
547,64,Griggle
548,48,Bone Mouse
558,64,Pot the Trick
563,32,Wretched Ghost of the Attic
567,1,Darkworld Thorns
579,4,Abyss Flower
588,1,Living Vase
589,12,Tentacle Plant
620,1,Snakeyashi
635,32,Queen's Double
644,64,Flame Viper
670,64,Black Luster Ritual
