24,160,Skull Servant
58,160,Kuriboh
167,120,Ancient Jar
339,64,Red Medicine
350,120,Dark-piercing Light
393,160,Zone Eater
394,160,Steel Scorpion
395,160,Dancing Elf
398,160,Ooguchi
399,160,Swordsman from a Foreign Land
402,120,Monster Eye
469,120,Armed Ninja
475,120,Sinister Serpent
484,2,Ameba
485,2,Korogashi
488,2,Rainbow Flower
499,120,Kattapillar
504,2,Fungi of the Musk
516,2,Muka Muka
527,120,Milus Radiant
541,2,Hane-Hane
547,2,Griggle
548,2,Bone Mouse
558,2,Pot the Trick
563,2,Wretched Ghost of the Attic
635,2,Queen's Double
644,2,Flame Viper
